Distance,Hop,RTT,PLR
400m,1,3585.8412060301507,0.25
400m,1,3531.8412060301507,0.25
400m,1,2830,0.0
400m,1,4162.682412060301,0.4
400m,1,2883,0.0
400m,1,2882,0.0
400m,1,5261.364824120603,0.5714285714285714
400m,1,2703,0.0
400m,1,1790,0.0
400m,1,2848,0.0
400m,1,2903,0.0
400m,1,2872,0.0
400m,1,4095.6824120603014,0.4
400m,1,2879,0.0
400m,1,4090.6824120603014,0.4
400m,1,2784,0.0
400m,1,2906,0.0
400m,1,3470.8412060301507,0.25
400m,1,2974,0.0
400m,1,3407.8412060301507,0.25
400m,1,3509.8412060301507,0.25
400m,1,2867,0.0
400m,1,3505.8412060301507,0.25
400m,1,4042.6824120603014,0.4
400m,1,3553.8412060301507,0.25
400m,1,2813,0.0
400m,1,3427.8412060301507,0.25
400m,1,4117.682412060301,0.4
400m,1,2892,0.0
400m,1,3449.8412060301507,0.25
400m,1,2929,0.0
400m,1,3626.8412060301507,0.25
400m,1,2972,0.0
400m,1,2929,0.0
400m,1,2860,0.0
400m,1,2910,0.0
400m,1,3567.8412060301507,0.25
400m,1,3395.8412060301507,0.25
400m,1,2950,0.0
400m,1,3511.8412060301507,0.25
400m,1,3461.8412060301507,0.25
400m,1,3561.8412060301507,0.25
400m,1,3413.8412060301507,0.25
400m,1,2932,0.0
400m,1,3359.8412060301507,0.25
400m,1,2915,0.0
400m,1,3401.8412060301507,0.25
400m,1,4059.6824120603014,0.4
400m,1,2870,0.0
400m,1,4288.682412060301,0.4
400m,1,2775,0.0
400m,1,3376.8412060301507,0.25
400m,1,5212.364824120603,0.5714285714285714
400m,1,3408.8412060301507,0.25
400m,1,2982,0.0
400m,1,2851,0.0
400m,1,2883,0.0
400m,1,2870,0.0
400m,1,4737.523618090452,0.5
400m,1,2442,0.0
400m,1,3004,0.0
400m,1,2954,0.0
400m,1,2873,0.0
400m,1,2854,0.0
400m,1,3541.8412060301507,0.25
400m,1,2792,0.0
400m,1,2916,0.0
400m,1,2848,0.0
400m,1,3626.8412060301507,0.25
400m,1,5721.364824120603,0.5714285714285714
400m,1,4658.523618090452,0.5
400m,1,3062,0.0
400m,1,3539.8412060301507,0.25
400m,1,4949.364824120603,0.5714285714285714
400m,1,4062.6824120603014,0.4
400m,1,4132.682412060301,0.4
400m,1,3414.8412060301507,0.25
400m,1,3526.8412060301507,0.25
400m,1,3530.8412060301507,0.25
400m,1,3419.8412060301507,0.25
400m,1,2901,0.0
400m,1,2920,0.0
400m,1,2889,0.0
400m,1,4560.682412060301,0.4
400m,1,3360,0.0
400m,1,3485.8412060301507,0.25
400m,1,4064.6824120603014,0.4
400m,1,2834,0.0
400m,1,3074,0.0
400m,1,2915,0.0
400m,1,3086,0.0
400m,1,2968,0.0
400m,1,3454.8412060301507,0.25
400m,1,2729,0.0
400m,1,4966.364824120603,0.5714285714285714
400m,1,3605.8412060301507,0.25
400m,1,2862,0.0
400m,1,3548.8412060301507,0.25
400m,1,2967,0.0
400m,1,2368.8412060301507,0.25
400m,1,2859,0.0
400m,1,2807,0.0
400m,1,3485.8412060301507,0.25
400m,1,2764,0.0
400m,1,2824,0.0
400m,1,4173.682412060301,0.4
400m,1,2819,0.0
400m,1,2672,0.0
400m,1,4128.682412060301,0.4
400m,1,3007,0.0
400m,1,2974,0.0
400m,1,2904,0.0
400m,1,2920,0.0
400m,1,4031.6824120603014,0.4
400m,1,3419.8412060301507,0.25
400m,1,4745.523618090452,0.5
400m,1,2919,0.0
400m,1,3588.8412060301507,0.25
400m,1,2877,0.0
400m,1,2969,0.0
400m,1,4556.523618090452,0.5
400m,1,2952,0.0
400m,1,2866,0.0
400m,1,2914,0.0
400m,1,3448.8412060301507,0.25
400m,1,2916,0.0
400m,1,3037,0.0
400m,1,3586.8412060301507,0.25
400m,1,4050.8412060301507,0.25
400m,1,2926,0.0
400m,1,3472.8412060301507,0.25
400m,1,4187.682412060301,0.4
400m,1,4659.523618090452,0.5
400m,1,2931,0.0
400m,1,4729.523618090452,0.5
400m,1,4677.523618090452,0.5
400m,1,2848,0.0
400m,1,4655.523618090452,0.5
400m,1,3473.8412060301507,0.25
400m,1,2959,0.0
400m,1,3482.8412060301507,0.25
400m,1,3534.8412060301507,0.25
400m,1,2902,0.0
400m,1,4150.682412060301,0.4
400m,1,3543.8412060301507,0.25
400m,1,2880,0.0
400m,1,2873,0.0
400m,1,3433.8412060301507,0.25
400m,1,2991,0.0
400m,1,3576.8412060301507,0.25
400m,1,5806.206030150754,0.625
400m,1,3460.8412060301507,0.25
400m,1,2945,0.0
400m,1,2901,0.0
400m,1,2923,0.0
400m,1,4388.523618090452,0.5
400m,1,4514.523618090452,0.5
400m,1,3554.8412060301507,0.25
400m,1,2787,0.0
400m,1,3495.8412060301507,0.25
400m,1,4165.682412060301,0.4
400m,1,2957,0.0
400m,1,3459.8412060301507,0.25
400m,1,3546.8412060301507,0.25
400m,1,2900,0.0
400m,1,4036.6824120603014,0.4
400m,1,2903,0.0
400m,1,3353.8412060301507,0.25
400m,1,3430.8412060301507,0.25
400m,1,2864,0.0
400m,1,2917,0.0
400m,1,4088.6824120603014,0.4
400m,1,2893,0.0
400m,1,2948,0.0
400m,1,4004.6824120603014,0.4
400m,1,3557.8412060301507,0.25
400m,1,3251.8412060301507,0.25
400m,1,2817,0.0
400m,1,3431.8412060301507,0.25
400m,1,2933,0.0
400m,1,4592.523618090452,0.5
400m,1,2967,0.0
400m,1,2795,0.0
400m,1,3492.8412060301507,0.25
400m,1,2903,0.0
400m,1,2966,0.0
400m,1,2840,0.0
400m,1,4415.523618090452,0.5
400m,1,4005.6824120603014,0.4
400m,1,3456.8412060301507,0.25
400m,1,2957,0.0
400m,1,2915,0.0
400m,1,2917,0.0
400m,1,2907,0.0
400m,1,4384.523618090452,0.5
400m,1,2877,0.0
400m,1,2834,0.0
400m,1,2953,0.0
400m,1,3454.8412060301507,0.25
400m,1,3462.8412060301507,0.25
400m,1,2924,0.0
400m,1,4074.6824120603014,0.4
400m,1,4086.6824120603014,0.4
400m,1,2783,0.0
400m,1,4004.6824120603014,0.4
400m,1,4045.6824120603014,0.4
400m,1,3531.8412060301507,0.25
400m,1,3458.8412060301507,0.25
400m,1,2968,0.0
400m,1,2869,0.0
400m,1,2928,0.0
400m,1,3315.8412060301507,0.25
400m,1,5755.206030150754,0.625
400m,1,3453.8412060301507,0.25
400m,1,2377,0.0
400m,1,3601.8412060301507,0.25
400m,1,3553.8412060301507,0.25
400m,1,3506.8412060301507,0.25
400m,1,3452.8412060301507,0.25
400m,1,2838,0.0
400m,1,2836,0.0
400m,1,3519.8412060301507,0.25
400m,1,2825,0.0
400m,1,2949,0.0
400m,1,2897,0.0
